Type,id,elec_can_expand,elec_can_retire,elec_constraints--MaxCapacityConstraint,max_capacity,location,fixed_om_cost,investment_cost,availability--timeseries--path,availability--timeseries--header,existing_capacity,capacity_size
VRE,NE_offshorewind_class10_moderate_floating_1_1,true,false,true,32928.493,NE,57294.4,173830.4242,system/availability.csv,NE_offshorewind_class10_moderate_floating_1_1,,
VRE,SE_utilitypv_class1_moderate_70_0_2_1,true,false,true,1.041244e6,SE,13510.19684,40649.03073,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_1,,
VRE,SE_utilitypv_class1_moderate_70_0_2_2,true,false,true,890062.0,SE,13510.19684,39383.65331,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_2,,
VRE,SE_utilitypv_class1_moderate_70_0_2_3,true,false,true,1.238552e6,SE,13510.19684,40720.18482,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_3,,
VRE,SE_utilitypv_class1_moderate_70_0_2_4,true,false,true,1.039859e6,SE,13510.19684,42820.55885,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_4,,
VRE,SE_utilitypv_class1_moderate_70_0_2_5,true,false,true,955445.0,SE,13510.19684,42551.95547,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_5,,
VRE,SE_utilitypv_class1_moderate_70_0_2_6,true,false,true,1.729874e6,SE,13510.19684,40680.27197,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_6,,
VRE,SE_utilitypv_class1_moderate_70_0_2_7,true,false,true,618334.0,SE,13510.19684,39896.03932,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_7,,
VRE,SE_utilitypv_class1_moderate_70_0_2_8,true,false,true,989513.0,SE,13510.19684,41245.37889,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_8,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_1,true,false,true,26783.0,MIDAT,13510.19684,41179.38174,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_1,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_2,true,false,true,288617.0,MIDAT,13510.19684,41016.27415,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_2,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_3,true,false,true,115699.0,MIDAT,13510.19684,40242.3086,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_3,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_4,true,false,true,996252.0,MIDAT,13510.19684,41350.78566,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_4,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_5,true,false,true,1.212132e6,MIDAT,13510.19684,41176.87277,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_5,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_6,true,false,true,1.080112e6,MIDAT,13510.19684,41746.9133,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_6,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_7,true,false,true,608258.0,MIDAT,13510.19684,43028.1307,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_7,,
VRE,NE_utilitypv_class1_moderate_70_0_2_1,true,false,true,156573.0,NE,13510.19684,43445.847,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_1,,
VRE,NE_utilitypv_class1_moderate_70_0_2_2,true,false,true,141382.0,NE,13510.19684,43474.3934,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_2,,
VRE,NE_utilitypv_class1_moderate_70_0_2_3,true,false,true,894093.0,NE,13510.19684,48886.47247,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_3,,
VRE,NE_utilitypv_class1_moderate_70_0_2_4,true,false,true,301180.0,NE,13510.19684,47324.48871,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_4,,
VRE,NE_utilitypv_class1_moderate_70_0_2_5,true,false,true,996252.0,NE,13510.19684,45284.8639,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_5,,
VRE,NE_utilitypv_class1_moderate_70_0_2_6,true,false,true,14823.0,NE,13510.19684,43252.63671,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_6,,
VRE,NE_utilitypv_class1_moderate_70_0_2_7,true,false,true,233816.0,NE,13510.19684,51642.1947,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_7,,
VRE,SE_landbasedwind_class4_moderate_70_1,true,false,true,84058.0,SE,26256.10757,74858.52871,system/availability.csv,SE_landbasedwind_class4_moderate_70_1,,
VRE,SE_landbasedwind_class4_moderate_70_2,true,false,true,20182.0,SE,26256.10757,71910.68871,system/availability.csv,SE_landbasedwind_class4_moderate_70_2,,
VRE,SE_landbasedwind_class4_moderate_70_3,true,false,true,105301.0,SE,26256.10757,74548.28871,system/availability.csv,SE_landbasedwind_class4_moderate_70_3,,
VRE,SE_landbasedwind_class4_moderate_70_4,true,false,true,95536.0,SE,26256.10757,77283.32871,system/availability.csv,SE_landbasedwind_class4_moderate_70_4,,
VRE,SE_landbasedwind_class4_moderate_70_5,true,false,true,79807.0,SE,26256.10757,78208.44871,system/availability.csv,SE_landbasedwind_class4_moderate_70_5,,
VRE,SE_landbasedwind_class4_moderate_70_6,true,false,true,117168.0,SE,26256.10757,74465.40871,system/availability.csv,SE_landbasedwind_class4_moderate_70_6,,
VRE,SE_landbasedwind_class4_moderate_70_7,true,false,true,66201.0,SE,26256.10757,73950.20871,system/availability.csv,SE_landbasedwind_class4_moderate_70_7,,
VRE,SE_landbasedwind_class4_moderate_70_8,true,false,true,102849.0,SE,26256.10757,76381.72871,system/availability.csv,SE_landbasedwind_class4_moderate_70_8,,
VRE,MIDAT_landbasedwind_class4_moderate_70_1,true,false,true,1384.0,MIDAT,26256.10757,78331.91929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_1,,
VRE,MIDAT_landbasedwind_class4_moderate_70_2,true,false,true,25176.0,MIDAT,26256.10757,78069.83929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_2,,
VRE,MIDAT_landbasedwind_class4_moderate_70_3,true,false,true,10379.0,MIDAT,26256.10757,76035.91929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_3,,
VRE,MIDAT_landbasedwind_class4_moderate_70_4,true,false,true,94297.0,MIDAT,26256.10757,78783.27929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_4,,
VRE,MIDAT_landbasedwind_class4_moderate_70_5,true,false,true,78586.0,MIDAT,26256.10757,79963.75929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_5,,
VRE,MIDAT_landbasedwind_class4_moderate_70_6,true,false,true,86257.0,MIDAT,26256.10757,79696.07929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_6,,
VRE,MIDAT_landbasedwind_class4_moderate_70_7,true,false,true,42063.0,MIDAT,26256.10757,82433.35929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_7,,
VRE,NE_landbasedwind_class4_moderate_70_1,true,false,true,6841.0,NE,26256.10757,90411.84793,system/availability.csv,NE_landbasedwind_class4_moderate_70_1,,
VRE,NE_landbasedwind_class4_moderate_70_2,true,false,true,10960.0,NE,26256.10757,91172.32793,system/availability.csv,NE_landbasedwind_class4_moderate_70_2,,
VRE,NE_landbasedwind_class4_moderate_70_3,true,false,true,65324.0,NE,26256.10757,102114.7279,system/availability.csv,NE_landbasedwind_class4_moderate_70_3,,
VRE,NE_landbasedwind_class4_moderate_70_4,true,false,true,17702.0,NE,26256.10757,97037.76793,system/availability.csv,NE_landbasedwind_class4_moderate_70_4,,
VRE,NE_landbasedwind_class4_moderate_70_5,true,false,true,90535.0,NE,26256.10757,95103.52793,system/availability.csv,NE_landbasedwind_class4_moderate_70_5,,
VRE,NE_landbasedwind_class4_moderate_70_6,true,false,true,1111.0,NE,26256.10757,91036.80793,system/availability.csv,NE_landbasedwind_class4_moderate_70_6,,
VRE,NE_landbasedwind_class4_moderate_70_7,true,false,true,13217.0,NE,26256.10757,101355.3679,system/availability.csv,NE_landbasedwind_class4_moderate_70_7,,
VRE,existing_solar_MIDAT,false,true,,,MIDAT,22887.0,,system/availability.csv,MIDAT_solar_photovoltaic_1,2974.6,10.578
VRE,existing_solar_SE,false,true,,,SE,22887.0,,system/availability.csv,SE_solar_photovoltaic_1,8502.2,17.142
VRE,existing_solar_NE,false,true,,,NE,22887.0,,system/availability.csv,NE_solar_photovoltaic_1,1629.6,3.63
VRE,existing_wind_NE,false,true,,,NE,43000.0,,system/availability.csv,NE_onshore_wind_turbine_1,3654.5,86.17
VRE,existing_wind_MIDAT,false,true,,,MIDAT,43000.0,,system/availability.csv,MIDAT_onshore_wind_turbine_1,3231.6,161.2
