Type,id,co2_sink,timedata,fuel_commodity,uc,elec_constraints--MinFlowConstraint,elec_constraints--MinDownTimeConstraint,elec_constraints--CapacityConstraint,elec_constraints--MinUpTimeConstraint,elec_constraints--RampingLimitConstraint,location,can_expand,min_down_time,fuel_consumption,fixed_om_cost,existing_capacity,min_up_time,capacity_size,ramp_down_fraction,emission_rate,variable_om_cost,investment_cost,startup_fuel_consumption,ramp_up_fraction,min_flow_fraction,startup_cost,can_retire
ThermalPower,MIDAT_natural_gas_fired_combined_cycle_1,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,MIDAT,false,6,2.249613533,16001.0,4026.4,6,125.825,0.64,0.181048235160161,4.415,0.0,0.58614214,0.64,0.444,89.34,
ThermalPower,MIDAT_natural_gas_fired_combined_cycle_2,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,MIDAT,false,6,2.002554621,11965.0,31802.922,6,588.943,0.64,0.181048235160161,3.452,0.0,0.58614214,0.64,0.38,89.34,
ThermalPower,MIDAT_natural_gas_fired_combined_cycle_3,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,MIDAT,false,6,3.598619669,11069.135,1697.696,6,212.212,0.64,0.181048235160161,3.505,0.0,0.58614214,0.64,0.217,89.34,true
ThermalPower,MIDAT_natural_gas_fired_combined_cycle_4,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,MIDAT,false,6,2.101319572,9496.0,20288.499,6,614.803,0.64,0.181048235160161,3.504,0.0,0.58614214,0.64,0.39,89.34,true
ThermalPower,MIDAT_natural_gas_fired_combustion_turbine_1,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,MIDAT,false,1,3.443878144,9573.46,14508.75,1,116.07,0.64,0.181048235160161,5.071,0.0,1.025748745,0.64,0.505,115.842,true
ThermalPower,MIDAT_natural_gas_fired_combustion_turbine_2,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,MIDAT,false,1,3.004271539,13548.0,704.718,1,14.994,0.64,0.181048235160161,5.071,0.0,1.025748745,0.64,0.403,115.842,true
ThermalPower,NE_natural_gas_fired_combined_cycle_1,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,NE,false,6,2.511912141,16001.0,6119.616,6,127.492,0.64,0.181048235160161,4.415,0.0,0.58614214,0.64,0.526,89.34,true
ThermalPower,NE_natural_gas_fired_combined_cycle_2,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,NE,false,6,2.245803609,10223.482,21225.12,6,442.19,0.64,0.181048235160161,3.488,0.0,0.58614214,0.64,0.409,89.34,true
ThermalPower,NE_natural_gas_fired_combined_cycle_3,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,NE,false,6,5.826545943,16001.0,19.5,6,19.5,0.64,0.181048235160161,4.415,0.0,0.58614214,0.64,0.472,89.34,true
ThermalPower,NE_natural_gas_fired_combined_cycle_4,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,NE,false,6,0.0,9496.0,296.0,6,148.0,0.64,0.181048235160161,3.504,0.0,0.58614214,0.64,0.472,89.34,true
ThermalPower,NE_natural_gas_fired_combustion_turbine_1,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,NE,false,1,3.321081365,13548.0,1413.201,1,24.793,0.64,0.181048235160161,5.071,0.0,1.025748745,0.64,0.39,115.842,true
ThermalPower,NE_natural_gas_fired_combustion_turbine_2,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,NE,false,1,3.321081365,9896.045,2341.199,1,80.731,0.64,0.181048235160161,5.071,0.0,1.025748745,0.64,0.367,115.842,true
ThermalPower,SE_natural_gas_fired_combined_cycle_1,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,SE,false,6,2.132092034,9496.0,26218.712,6,504.206,0.64,0.181048235160161,3.504,0.0,0.58614214,0.64,0.41,89.34,true
ThermalPower,SE_natural_gas_fired_combined_cycle_2,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,SE,false,6,2.266904726,16001.0,4637.5,6,185.5,0.64,0.181048235160161,4.415,0.0,0.58614214,0.64,0.586,89.34,true
ThermalPower,SE_natural_gas_fired_combined_cycle_3,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,SE,false,6,2.042412287,11977.294,42679.32,6,711.322,0.64,0.181048235160161,3.455,0.0,0.58614214,0.64,0.596,89.34,true
ThermalPower,SE_natural_gas_fired_combined_cycle_4,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,SE,false,6,2.999582401,11733.808,6088.5,6,507.375,0.64,0.181048235160161,3.493,0.0,0.58614214,0.64,0.561,89.34,true
ThermalPower,SE_natural_gas_fired_combustion_turbine_1,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,SE,false,1,3.262760222,9518.439,24934.14,1,138.523,0.64,0.181048235160161,5.071,0.0,1.025748745,0.64,0.472,115.842,true
ThermalPower,SE_natural_gas_fired_combustion_turbine_2,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,SE,false,1,3.020390447,13548.0,683.209,1,22.039,0.64,0.181048235160161,5.071,0.0,1.025748745,0.64,0.326,115.842,true
ThermalPower,SE_naturalgas_ccavgcf_moderate_0,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,SE,true,4,1.864811218,27800.0,0.0,4,573.0,1.0,0.181048235160161,1.85,57692.09836,0.058614214,1.0,0.3,61.0,true
ThermalPower,SE_naturalgas_ctavgcf_moderate_0,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,SE,true,0,2.847771587,22800.0,0.0,0,237.0,1.0,0.181048235160161,6.94,51669.01214,0.055683503,1.0,0.25,140.0,true
ThermalPower,MIDAT_naturalgas_ccavgcf_moderate_0,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,MIDAT,true,4,1.864811218,27800.0,0.0,4,573.0,1.0,0.181048235160161,1.85,67880.38343,0.058614214,1.0,0.3,61.0,true
ThermalPower,MIDAT_naturalgas_ctavgcf_moderate_0,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,MIDAT,true,0,2.847771587,22800.0,0.0,0,237.0,1.0,0.181048235160161,6.94,57602.08239,0.055683503,1.0,0.25,140.0,true
ThermalPower,NE_naturalgas_ccavgcf_moderate_0,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,NE,true,4,1.864811218,27800.0,0.0,4,573.0,1.0,0.181048235160161,1.85,82535.90352,0.058614214,1.0,0.3,61.0,true
ThermalPower,NE_naturalgas_ctavgcf_moderate_0,co2_sink,NaturalGas,NaturalGas,true,true,true,true,true,true,NE,true,0,2.847771587,22800.0,0.0,0,237.0,1.0,0.181048235160161,6.94,68234.02532,0.055683503,1.0,0.25,140.0,true
