Type,id,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_edge--has_capacity,edges--natgas_edge--unidirectional,edges--natgas_edge--commodity,edges--natgas_edge--has_capacity,edges--co2_captured_edge--type,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--biomass_edge--integer_decisions,edges--biomass_edge--can_retire,edges--biomass_edge--constraints--MinFlowConstraint,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--unidirectional,edges--biomass_edge--commodity,edges--biomass_edge--can_expand,edges--biomass_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--commodity,edges--co2_emission_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--start_vertex,edges--natgas_edge--end_vertex,edges--co2_captured_edge--end_vertex,edges--biomass_edge--variable_om_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--biomass_edge--investment_cost,edges--biomass_edge--min_flow_fraction,edges--biomass_edge--start_vertex,transforms--emission_rate,transforms--capture_rate,transforms--electricity_consumption,transforms--co2_content,transforms--natgas_production
BECCSNaturalGas,SE_Bio_NaturalGas_Herb,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_SE,natgas_SE,co2_captured_SE,9.04,500251,system/availability.csv,SE_Bio_NaturalGas_Herb,867993,0.85,bioherb_SE,1.2187,0.0,0.208,1.717,2.75229
BECCSNaturalGas,MIDAT_Bio_NaturalGas_Herb,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_MIDAT,natgas_MIDAT,co2_captured_MIDAT,9.04,500251,system/availability.csv,MIDAT_Bio_NaturalGas_Herb,867993,0.85,bioherb_MIDAT,1.2187,0.0,0.208,1.717,2.75229
BECCSNaturalGas,NE_Bio_NaturalGas_Herb,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_NE,natgas_NE,co2_captured_NE,9.04,500251,system/availability.csv,NE_Bio_NaturalGas_Herb,867993,0.85,bioherb_NE,1.2187,0.0,0.208,1.717,2.75229
BECCSNaturalGas,SE_Bio_NaturalGas_Wood,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_SE,natgas_SE,co2_captured_SE,9.04,500251,system/availability.csv,SE_Bio_NaturalGas_Wood,867993,0.85,biowood_SE,1.2187,0.0,0.208,1.717,2.75229
BECCSNaturalGas,MIDAT_Bio_NaturalGas_Wood,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_MIDAT,natgas_MIDAT,co2_captured_MIDAT,9.04,500251,system/availability.csv,MIDAT_Bio_NaturalGas_Wood,867993,0.85,biowood_MIDAT,1.2187,0.0,0.208,1.717,2.75229
BECCSNaturalGas,NE_Bio_NaturalGas_Wood,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_NE,natgas_NE,co2_captured_NE,9.04,500251,system/availability.csv,NE_Bio_NaturalGas_Wood,867993,0.85,biowood_NE,1.2187,0.0,0.208,1.717,2.75229
BECCSNaturalGas,SE_BECCS_NaturalGas_Herb,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_SE,natgas_SE,co2_captured_SE,9.76,586131,system/availability.csv,SE_BECCS_NaturalGas_Herb,1015075,0.85,bioherb_SE,0.73953,0.48304,0.253,1.717,2.73095
BECCSNaturalGas,MIDAT_BECCS_NaturalGas_Herb,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_MIDAT,natgas_MIDAT,co2_captured_MIDAT,9.76,586131,system/availability.csv,MIDAT_BECCS_NaturalGas_Herb,1015075,0.85,bioherb_MIDAT,0.73953,0.48304,0.253,1.717,2.73095
BECCSNaturalGas,NE_BECCS_NaturalGas_Herb,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Herb,true,true,co2_sink,true,CO2,false,true,Biomass,elec_NE,natgas_NE,co2_captured_NE,9.76,586131,system/availability.csv,NE_BECCS_NaturalGas_Herb,1015075,0.85,bioherb_NE,0.73953,0.48304,0.253,1.717,2.73095
BECCSNaturalGas,SE_BECCS_NaturalGas_Wood,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_SE,natgas_SE,co2_captured_SE,9.76,586131,system/availability.csv,SE_BECCS_NaturalGas_Wood,1015075,0.85,biowood_SE,0.73953,0.48304,0.253,1.717,2.73095
BECCSNaturalGas,MIDAT_BECCS_NaturalGas_Wood,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_MIDAT,natgas_MIDAT,co2_captured_MIDAT,9.76,586131,system/availability.csv,MIDAT_BECCS_NaturalGas_Wood,1015075,0.85,biowood_MIDAT,0.73953,0.48304,0.253,1.717,2.73095
BECCSNaturalGas,NE_BECCS_NaturalGas_Wood,true,Electricity,false,true,CO2,co2_sink,false,true,NaturalGas,false,CO2Captured,true,false,false,true,true,true,true,Biomass_Wood,true,true,co2_sink,true,CO2,false,true,Biomass,elec_NE,natgas_NE,co2_captured_NE,9.76,586131,system/availability.csv,NE_BECCS_NaturalGas_Wood,1015075,0.85,biowood_NE,0.73953,0.48304,0.253,1.717,2.73095
