Type,id,edges--elec_edge--integer_decisions,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--can_retire,edges--elec_edge--can_expand,edges--elec_edge--min_down_time,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate
ThermalPower,MIDAT_natural_gas_fired_combined_cycle_1,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,16001.0,4026.4,6,125.825,0.64,elec_MIDAT,4.415,0.0,0.58614214,0.64,0.444,89.34,natgas_MIDAT,2.249613533,0.181048235160161
ThermalPower,MIDAT_natural_gas_fired_combined_cycle_2,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,11965.0,31802.922,6,588.943,0.64,elec_MIDAT,3.452,0.0,0.58614214,0.64,0.38,89.34,natgas_MIDAT,2.002554621,0.181048235160161
ThermalPower,MIDAT_natural_gas_fired_combined_cycle_3,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,11069.135,1697.696,6,212.212,0.64,elec_MIDAT,3.505,0.0,0.58614214,0.64,0.217,89.34,natgas_MIDAT,3.598619669,0.181048235160161
ThermalPower,MIDAT_natural_gas_fired_combined_cycle_4,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,9496.0,20288.499,6,614.803,0.64,elec_MIDAT,3.504,0.0,0.58614214,0.64,0.39,89.34,natgas_MIDAT,2.101319572,0.181048235160161
ThermalPower,MIDAT_natural_gas_fired_combustion_turbine_1,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,1,9573.46,14508.75,1,116.07,0.64,elec_MIDAT,5.071,0.0,1.025748745,0.64,0.505,115.842,natgas_MIDAT,3.443878144,0.181048235160161
ThermalPower,MIDAT_natural_gas_fired_combustion_turbine_2,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,1,13548.0,704.718,1,14.994,0.64,elec_MIDAT,5.071,0.0,1.025748745,0.64,0.403,115.842,natgas_MIDAT,3.004271539,0.181048235160161
ThermalPower,NE_natural_gas_fired_combined_cycle_1,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,16001.0,6119.616,6,127.492,0.64,elec_NE,4.415,0.0,0.58614214,0.64,0.526,89.34,natgas_NE,2.511912141,0.181048235160161
ThermalPower,NE_natural_gas_fired_combined_cycle_2,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,10223.482,21225.12,6,442.19,0.64,elec_NE,3.488,0.0,0.58614214,0.64,0.409,89.34,natgas_NE,2.245803609,0.181048235160161
ThermalPower,NE_natural_gas_fired_combined_cycle_3,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,16001.0,19.5,6,19.5,0.64,elec_NE,4.415,0.0,0.58614214,0.64,0.472,89.34,natgas_NE,5.826545943,0.181048235160161
ThermalPower,NE_natural_gas_fired_combined_cycle_4,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,9496.0,296.0,6,148.0,0.64,elec_NE,3.504,0.0,0.58614214,0.64,0.472,89.34,natgas_NE,0.0,0.181048235160161
ThermalPower,NE_natural_gas_fired_combustion_turbine_1,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,1,13548.0,1413.201,1,24.793,0.64,elec_NE,5.071,0.0,1.025748745,0.64,0.39,115.842,natgas_NE,3.321081365,0.181048235160161
ThermalPower,NE_natural_gas_fired_combustion_turbine_2,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,1,9896.045,2341.199,1,80.731,0.64,elec_NE,5.071,0.0,1.025748745,0.64,0.367,115.842,natgas_NE,3.321081365,0.181048235160161
ThermalPower,SE_natural_gas_fired_combined_cycle_1,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,9496.0,26218.712,6,504.206,0.64,elec_SE,3.504,0.0,0.58614214,0.64,0.41,89.34,natgas_SE,2.132092034,0.181048235160161
ThermalPower,SE_natural_gas_fired_combined_cycle_2,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,16001.0,4637.5,6,185.5,0.64,elec_SE,4.415,0.0,0.58614214,0.64,0.586,89.34,natgas_SE,2.266904726,0.181048235160161
ThermalPower,SE_natural_gas_fired_combined_cycle_3,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,11977.294,42679.32,6,711.322,0.64,elec_SE,3.455,0.0,0.58614214,0.64,0.596,89.34,natgas_SE,2.042412287,0.181048235160161
ThermalPower,SE_natural_gas_fired_combined_cycle_4,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,6,11733.808,6088.5,6,507.375,0.64,elec_SE,3.493,0.0,0.58614214,0.64,0.561,89.34,natgas_SE,2.999582401,0.181048235160161
ThermalPower,SE_natural_gas_fired_combustion_turbine_1,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,1,9518.439,24934.14,1,138.523,0.64,elec_SE,5.071,0.0,1.025748745,0.64,0.472,115.842,natgas_SE,3.262760222,0.181048235160161
ThermalPower,SE_natural_gas_fired_combustion_turbine_2,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,false,1,13548.0,683.209,1,22.039,0.64,elec_SE,5.071,0.0,1.025748745,0.64,0.326,115.842,natgas_SE,3.020390447,0.181048235160161
ThermalPower,SE_naturalgas_ccavgcf_moderate_0,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,true,4,27800.0,0.0,4,573.0,1.0,elec_SE,1.85,57692.09836,0.058614214,1.0,0.3,61.0,natgas_SE,1.864811218,0.181048235160161
ThermalPower,SE_naturalgas_ctavgcf_moderate_0,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,true,0,22800.0,0.0,0,237.0,1.0,elec_SE,6.94,51669.01214,0.055683503,1.0,0.25,140.0,natgas_SE,2.847771587,0.181048235160161
ThermalPower,MIDAT_naturalgas_ccavgcf_moderate_0,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,true,4,27800.0,0.0,4,573.0,1.0,elec_MIDAT,1.85,67880.38343,0.058614214,1.0,0.3,61.0,natgas_MIDAT,1.864811218,0.181048235160161
ThermalPower,MIDAT_naturalgas_ctavgcf_moderate_0,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,true,0,22800.0,0.0,0,237.0,1.0,elec_MIDAT,6.94,57602.08239,0.055683503,1.0,0.25,140.0,natgas_MIDAT,2.847771587,0.181048235160161
ThermalPower,NE_naturalgas_ccavgcf_moderate_0,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,true,4,27800.0,0.0,4,573.0,1.0,elec_NE,1.85,82535.90352,0.058614214,1.0,0.3,61.0,natgas_NE,1.864811218,0.181048235160161
ThermalPower,NE_naturalgas_ctavgcf_moderate_0,false,true,true,true,true,true,true,Electricity,true,true,true,NaturalGas,false,co2_sink,true,CO2,false,true,NaturalGas,true,true,0,22800.0,0.0,0,237.0,1.0,elec_NE,6.94,68234.02532,0.055683503,1.0,0.25,140.0,natgas_NE,2.847771587,0.181048235160161
