Type,id,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size
VRE,NE_offshorewind_class10_moderate_floating_1_1,true,true,false,true,Electricity,true,true,Electricity,32928.493,57294.4,173830.4242,system/availability.csv,NE_offshorewind_class10_moderate_floating_1_1,elec_NE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_1,true,true,false,true,Electricity,true,true,Electricity,1.041244e6,13510.19684,40649.03073,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_1,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_2,true,true,false,true,Electricity,true,true,Electricity,890062.0,13510.19684,39383.65331,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_2,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_3,true,true,false,true,Electricity,true,true,Electricity,1.238552e6,13510.19684,40720.18482,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_3,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_4,true,true,false,true,Electricity,true,true,Electricity,1.039859e6,13510.19684,42820.55885,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_4,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_5,true,true,false,true,Electricity,true,true,Electricity,955445.0,13510.19684,42551.95547,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_5,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_6,true,true,false,true,Electricity,true,true,Electricity,1.729874e6,13510.19684,40680.27197,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_6,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_7,true,true,false,true,Electricity,true,true,Electricity,618334.0,13510.19684,39896.03932,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_7,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_8,true,true,false,true,Electricity,true,true,Electricity,989513.0,13510.19684,41245.37889,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_8,elec_SE,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_1,true,true,false,true,Electricity,true,true,Electricity,26783.0,13510.19684,41179.38174,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_1,elec_MIDAT,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_2,true,true,false,true,Electricity,true,true,Electricity,288617.0,13510.19684,41016.27415,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_2,elec_MIDAT,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_3,true,true,false,true,Electricity,true,true,Electricity,115699.0,13510.19684,40242.3086,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_3,elec_MIDAT,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_4,true,true,false,true,Electricity,true,true,Electricity,996252.0,13510.19684,41350.78566,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_4,elec_MIDAT,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_5,true,true,false,true,Electricity,true,true,Electricity,1.212132e6,13510.19684,41176.87277,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_5,elec_MIDAT,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_6,true,true,false,true,Electricity,true,true,Electricity,1.080112e6,13510.19684,41746.9133,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_6,elec_MIDAT,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_7,true,true,false,true,Electricity,true,true,Electricity,608258.0,13510.19684,43028.1307,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_7,elec_MIDAT,,
VRE,NE_utilitypv_class1_moderate_70_0_2_1,true,true,false,true,Electricity,true,true,Electricity,156573.0,13510.19684,43445.847,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_1,elec_NE,,
VRE,NE_utilitypv_class1_moderate_70_0_2_2,true,true,false,true,Electricity,true,true,Electricity,141382.0,13510.19684,43474.3934,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_2,elec_NE,,
VRE,NE_utilitypv_class1_moderate_70_0_2_3,true,true,false,true,Electricity,true,true,Electricity,894093.0,13510.19684,48886.47247,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_3,elec_NE,,
VRE,NE_utilitypv_class1_moderate_70_0_2_4,true,true,false,true,Electricity,true,true,Electricity,301180.0,13510.19684,47324.48871,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_4,elec_NE,,
VRE,NE_utilitypv_class1_moderate_70_0_2_5,true,true,false,true,Electricity,true,true,Electricity,996252.0,13510.19684,45284.8639,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_5,elec_NE,,
VRE,NE_utilitypv_class1_moderate_70_0_2_6,true,true,false,true,Electricity,true,true,Electricity,14823.0,13510.19684,43252.63671,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_6,elec_NE,,
VRE,NE_utilitypv_class1_moderate_70_0_2_7,true,true,false,true,Electricity,true,true,Electricity,233816.0,13510.19684,51642.1947,system/availability.csv,NE_utilitypv_class1_moderate_70_0_2_7,elec_NE,,
VRE,SE_landbasedwind_class4_moderate_70_1,true,true,false,true,Electricity,true,true,Electricity,84058.0,26256.10757,74858.52871,system/availability.csv,SE_landbasedwind_class4_moderate_70_1,elec_SE,,
VRE,SE_landbasedwind_class4_moderate_70_2,true,true,false,true,Electricity,true,true,Electricity,20182.0,26256.10757,71910.68871,system/availability.csv,SE_landbasedwind_class4_moderate_70_2,elec_SE,,
VRE,SE_landbasedwind_class4_moderate_70_3,true,true,false,true,Electricity,true,true,Electricity,105301.0,26256.10757,74548.28871,system/availability.csv,SE_landbasedwind_class4_moderate_70_3,elec_SE,,
VRE,SE_landbasedwind_class4_moderate_70_4,true,true,false,true,Electricity,true,true,Electricity,95536.0,26256.10757,77283.32871,system/availability.csv,SE_landbasedwind_class4_moderate_70_4,elec_SE,,
VRE,SE_landbasedwind_class4_moderate_70_5,true,true,false,true,Electricity,true,true,Electricity,79807.0,26256.10757,78208.44871,system/availability.csv,SE_landbasedwind_class4_moderate_70_5,elec_SE,,
VRE,SE_landbasedwind_class4_moderate_70_6,true,true,false,true,Electricity,true,true,Electricity,117168.0,26256.10757,74465.40871,system/availability.csv,SE_landbasedwind_class4_moderate_70_6,elec_SE,,
VRE,SE_landbasedwind_class4_moderate_70_7,true,true,false,true,Electricity,true,true,Electricity,66201.0,26256.10757,73950.20871,system/availability.csv,SE_landbasedwind_class4_moderate_70_7,elec_SE,,
VRE,SE_landbasedwind_class4_moderate_70_8,true,true,false,true,Electricity,true,true,Electricity,102849.0,26256.10757,76381.72871,system/availability.csv,SE_landbasedwind_class4_moderate_70_8,elec_SE,,
VRE,MIDAT_landbasedwind_class4_moderate_70_1,true,true,false,true,Electricity,true,true,Electricity,1384.0,26256.10757,78331.91929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_1,elec_MIDAT,,
VRE,MIDAT_landbasedwind_class4_moderate_70_2,true,true,false,true,Electricity,true,true,Electricity,25176.0,26256.10757,78069.83929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_2,elec_MIDAT,,
VRE,MIDAT_landbasedwind_class4_moderate_70_3,true,true,false,true,Electricity,true,true,Electricity,10379.0,26256.10757,76035.91929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_3,elec_MIDAT,,
VRE,MIDAT_landbasedwind_class4_moderate_70_4,true,true,false,true,Electricity,true,true,Electricity,94297.0,26256.10757,78783.27929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_4,elec_MIDAT,,
VRE,MIDAT_landbasedwind_class4_moderate_70_5,true,true,false,true,Electricity,true,true,Electricity,78586.0,26256.10757,79963.75929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_5,elec_MIDAT,,
VRE,MIDAT_landbasedwind_class4_moderate_70_6,true,true,false,true,Electricity,true,true,Electricity,86257.0,26256.10757,79696.07929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_6,elec_MIDAT,,
VRE,MIDAT_landbasedwind_class4_moderate_70_7,true,true,false,true,Electricity,true,true,Electricity,42063.0,26256.10757,82433.35929,system/availability.csv,MIDAT_landbasedwind_class4_moderate_70_7,elec_MIDAT,,
VRE,NE_landbasedwind_class4_moderate_70_1,true,true,false,true,Electricity,true,true,Electricity,6841.0,26256.10757,90411.84793,system/availability.csv,NE_landbasedwind_class4_moderate_70_1,elec_NE,,
VRE,NE_landbasedwind_class4_moderate_70_2,true,true,false,true,Electricity,true,true,Electricity,10960.0,26256.10757,91172.32793,system/availability.csv,NE_landbasedwind_class4_moderate_70_2,elec_NE,,
VRE,NE_landbasedwind_class4_moderate_70_3,true,true,false,true,Electricity,true,true,Electricity,65324.0,26256.10757,102114.7279,system/availability.csv,NE_landbasedwind_class4_moderate_70_3,elec_NE,,
VRE,NE_landbasedwind_class4_moderate_70_4,true,true,false,true,Electricity,true,true,Electricity,17702.0,26256.10757,97037.76793,system/availability.csv,NE_landbasedwind_class4_moderate_70_4,elec_NE,,
VRE,NE_landbasedwind_class4_moderate_70_5,true,true,false,true,Electricity,true,true,Electricity,90535.0,26256.10757,95103.52793,system/availability.csv,NE_landbasedwind_class4_moderate_70_5,elec_NE,,
VRE,NE_landbasedwind_class4_moderate_70_6,true,true,false,true,Electricity,true,true,Electricity,1111.0,26256.10757,91036.80793,system/availability.csv,NE_landbasedwind_class4_moderate_70_6,elec_NE,,
VRE,NE_landbasedwind_class4_moderate_70_7,true,true,false,true,Electricity,true,true,Electricity,13217.0,26256.10757,101355.3679,system/availability.csv,NE_landbasedwind_class4_moderate_70_7,elec_NE,,
VRE,existing_solar_MIDAT,,true,true,true,Electricity,false,true,Electricity,,22887.0,,system/availability.csv,MIDAT_solar_photovoltaic_1,elec_MIDAT,2974.6,10.578
VRE,existing_solar_SE,,true,true,true,Electricity,false,true,Electricity,,22887.0,,system/availability.csv,SE_solar_photovoltaic_1,elec_SE,8502.2,17.142
VRE,existing_solar_NE,,true,true,true,Electricity,false,true,Electricity,,22887.0,,system/availability.csv,NE_solar_photovoltaic_1,elec_NE,1629.6,3.63
VRE,existing_wind_NE,,true,true,true,Electricity,false,true,Electricity,,43000.0,,system/availability.csv,NE_onshore_wind_turbine_1,elec_NE,3654.5,86.17
VRE,existing_wind_MIDAT,,true,true,true,Electricity,false,true,Electricity,,43000.0,,system/availability.csv,MIDAT_onshore_wind_turbine_1,elec_MIDAT,3231.6,161.2
